Código,Unidade,Sub unidade,Tipo,Nome,Descritivo,
1240.20.609,Expedição,Secção,Socorrismo,,,
1240.20.610,Expedição,Secção,Socorrismo,,,
1240.20.611,Expedição,Secção,Socorrismo,,,
1240.20.612,Expedição,Secção,Socorrismo,,,
1240.20.613,Expedição,Secção,Socorrismo,,,
1240.20.614,Expedição,Secção,Socorrismo,,,
1240.20.615,Expedição,Secção,Socorrismo,,,
1240.20.616,Expedição,Secção,Socorrismo,,,
1240.20.617,Expedição,Secção,Socorrismo,,,
1240.20.618,Expedição,Secção,Socorrismo,,,
1240.20.619,Expedição,Secção,Socorrismo,,,
1240.20.620,Expedição,Secção,Socorrismo,,,
1240.20.621,Expedição,Secção,Socorrismo,,,
1240.20.622,Expedição,Secção,Socorrismo,,,
1240.20.623,Expedição,Secção,Socorrismo,,,
1240.20.624,Expedição,Secção,Socorrismo,,,
1240.20.625,Expedição,Secção,Socorrismo,,,
1240.20.626,Expedição,Secção,Socorrismo,,,
1240.20.627,Expedição,Secção,Socorrismo,,,
1240.20.628,Expedição,Secção,Socorrismo,,,
1240.20.629,Expedição,Secção,Socorrismo,,,
1240.20.630,Expedição,Secção,Socorrismo,,,
1240.20.631,Expedição,Secção,Socorrismo,,,
1240.20.632,Expedição,Secção,Socorrismo,,,
1240.20.633,Expedição,Secção,Socorrismo,,,
1240.20.634,Expedição,Secção,Socorrismo,,,
1240.20.635,Expedição,Secção,Socorrismo,,,
1240.20.636,Expedição,Secção,Socorrismo,,,
1240.20.637,Expedição,Secção,Socorrismo,,,
1240.20.638,Expedição,Secção,Socorrismo,,,
1240.20.639,Expedição,Secção,Socorrismo,,,
1240.20.640,Expedição,Secção,Socorrismo,,,
1240.20.641,Expedição,Secção,Socorrismo,,,
1240.20.642,Expedição,Secção,Socorrismo,,,
1240.20.643,Expedição,Secção,Socorrismo,,,
1240.20.644,Expedição,Secção,Socorrismo,,,
1240.20.645,Expedição,Secção,Socorrismo,,,
1240.20.646,Expedição,Secção,Socorrismo,,,
1240.20.647,Expedição,Secção,Socorrismo,,,
1240.20.648,Expedição,Secção,Socorrismo,,,
